,tweets
0,"['FransiscaKwee', 'in', datetime.datetime(2019, 11, 12, 7, 6, 33), 3, 'RT @JSCLounge: . @mrtjakarta fase II yang menghubungkan Bundaran Hotel Indonesia (HI) hingga Ancol Barat, jika sudah beroperasi nanti ditar…', '']"
1,"['candyjkt', 'in', datetime.datetime(2019, 11, 12, 6, 16), 0, '@JSCLounge @mrtjakarta Emangnya sebanyak itu org dari lebak bulus ke kota ? Kalau dari bekasi ke jakarta sih mungkin yaa', '둥 둥 에서']"
2,"['meenachan', 'in', datetime.datetime(2019, 11, 12, 5, 25, 9), 0, 'JJS..jalan2 siang mampir ngupi naek @PT_TransJakarta &amp; @mrtjakarta https://t.co/ZdGScOBvU5', 'A phone call away']"
3,"['timhangs', 'in', datetime.datetime(2019, 11, 12, 5, 19, 3), 0, '@mrtjakarta min tanya donk, di stasiun lebak bulus itu apakah terkoneksi langsung dengan halte busway lebak bulus? atau musti keluar dari stasiunnya terlebih dahulu. tks', 'Jakarta']"
4,"['iday2004', 'in', datetime.datetime(2019, 11, 12, 5, 1, 15), 0, '@JSCLounge @mrtjakarta Kenapa prioritas mesti ke ancol/pluit dulu, coba ke tj priok atau cengkareng jalur2 padat', 'Tanjung Priok, Indonesia']"
5,"['SitungkirSuesty', 'in', datetime.datetime(2019, 11, 12, 4, 53, 3), 0, '@JSCLounge @mrtjakarta Perlu diupgrade nih, @PT_TransJakarta. Btul gak, bpk @aniesbaswedan? Anggarannya brp utk meng-upgrade nih, @DKIJakarta @dprddkijakarta? #jakartatimur #dkijakarta #jakarta #indonesia #discovery https://t.co/4IwRNAVr0c', 'Indonesia']"
6,"['JSCLounge', 'in', datetime.datetime(2019, 11, 12, 4, 49, 38), 3, '. @mrtjakarta fase II yang menghubungkan Bundaran Hotel Indonesia (HI) hingga Ancol Barat, jika sudah beroperasi nanti ditargetkan bisa mengangkut 500 ribu penumpang perharinya.\n\nhttps://t.co/lMEKk0BE4U\n\n#JakartaSmartCity #SmartMobility', 'Jakarta, Indonesia']"
7,"['jisen24', 'in', datetime.datetime(2019, 11, 12, 3, 46, 10), 0, '@JunizarT @CommuterLine @mrtjakarta Untuk saat ini dengan kondisi stasiun dalam pembangunan dan ukuran peron yang kecil, salah satu cara yang baik adalah menyediakan tenaga ahli yang bisa menghibau secara langsung dan berdiri sejajar dengan pintu kereta sebagai himbauan. 1 pintu minimal 1 tenaga ahli.', 'Indonesia']"
8,"['JunizarT', 'in', datetime.datetime(2019, 11, 12, 3, 38, 31), 0, '@jisen24 @CommuterLine seharusnya @CommuterLine mau belajar ke @mrtjakarta yang sudah membuat jalur khusus penumpang yang mau turun dengan yang mau naik. MRT sudah bisa menciptakan suasana kedisiplinan bagi warga DKI', '']"
9,"['gitskai', 'in', datetime.datetime(2019, 11, 12, 2, 5, 36), 0, '@mrtjakarta di stasiun fatmawati signage pintu masuk kalo nyebrang dr depan ventura ga jelas, kasian tadi ada kakek nenek nyebrang trus bingung ke mana jalannya', 'Jakarta']"
10,"['Ijuull_', 'in', datetime.datetime(2019, 11, 12, 0, 45, 37), 0, 'lucu tuh satpam, org mau naek malah berhenti ditengah2 pintu mrt, emang sih terlalu mepet karena pintu mau ditutup, tapi masih bisa masuk kalo dia gak di tengah2 pintu @mrtjakarta', '']"
11,"['ga_jur', 'in', datetime.datetime(2019, 11, 11, 22, 4, 12), 0, 'Nyewa MRT\nWkwkwk\nTemennya cuma om security\nAyo naik angkutan massal\n#MRT\n#JAKARTA\n@mrtjakarta https://t.co/VsdKydFPx7', 'area 51']"
12,"['tasyanp_97', 'in', datetime.datetime(2019, 11, 11, 14, 1, 52), 0, 'Walaupun ku udah berkali2 naik \n@mrtjakarta akhir2 ini demi bangtan tp belom kedapetan yg dalemnya ada bangtannya gpp aku fine mungkin memang belum jodoh🙃 begitupun dgn \n@CommuterLine masih blum jodoh jg padahal naik terus pulang ngampus🙂 #CINTAKUDIGONDOLJUNGKOOK #jeonsyadiary https://t.co/WHKcCvlfF7', 'Jakarta']"
13,"['zidniagni', 'in', datetime.datetime(2019, 11, 11, 13, 42, 39), 0, '@DKIJakarta Dari park n ride jakpro di mrt fatmawati ke stasiun mrt fatmawati jauh sekali, sebaiknya dibangun penyebrangan underpass utk pejalan kaki @mrtjakarta https://t.co/3KzhJ51pUi', 'Jakarta']"
14,"['HotmaSimatupang', 'in', datetime.datetime(2019, 11, 11, 13, 36, 18), 0, 'Bagaimana cara mendapatkan receipt perjalanan @mrtjakarta', 'ÜT: 3.582548,98.672835']"
15,"['Dhewi_Dhewi', 'in', datetime.datetime(2019, 11, 11, 13, 8, 55), 0, '@meilia_w @mrtjakarta @JKT48 @RailinkARS Hmmm aku tiap hari lewat naik KRL dan g ngrasa terganggu sama sekali ko...masih longgar buat lewat2 wara wiri juga....', 'Bogor']"
16,"['AdityoRauf', 'in', datetime.datetime(2019, 11, 11, 12, 25, 34), 0, '@mrtjakarta kenapa di stasiun gaada tempat sampah?', '']"
17,"['Yourbaeisminee', 'in', datetime.datetime(2019, 11, 11, 12, 3, 53), 0, '@zhcchan @mrtjakarta @JKT48 Mana ujan lagi sekarang 😭✊', '']"
